Practice,Crop,N_Obs,N_Pub,Mean_T,Mean_C,Mean_Difference,Se,Lower,Upper
Organic Fertilizer,Pearl Millet,403,25,0.87572449,0.51279204,0.3373335,0.0687989,0.20249013,0.47217688
Improved Varieties,Maize,508,24,3.00630658,2.42754172,0.69225191,0.15578477,0.38691936,0.99758446
Intercropping,Cassava,405,21,16.35613394,17.34407808,-1.38013254,1.0385202,-3.41559472,0.65532964
Inorganic Fertilizer,Wheat,279,20,3.34381127,2.4111886,0.80776002,0.29577506,0.22805155,1.38746849
Reduced Tillage,Cowpea,236,20,0.75283092,0.68736641,0.06152398,0.03828876,-0.01352062,0.13656858
Water Harvesting,Sorghum,292,20,1.9607536,1.51119815,0.48554448,0.1315709,0.22767026,0.74341869
Reduced Tillage,Sorghum,422,19,1.60228326,0.6839701,0.24515923,0.13883418,-0.02695075,0.51726921
pH Control,Maize,366,19,3.8019438,2.76785556,1.03310168,0.1632922,0.71305484,1.35314852
Improved Fallow,Maize,416,18,2.36598794,1.5733336,1.23955379,0.17485859,0.89683725,1.58227032
Mulch (Herbs),Sorghum,285,16,1.35781904,1.21693427,0.26766501,0.06047196,0.14914215,0.38618787
Deficit Irrigation,Maize,261,15,5.03082345,6.24415201,-1.06034785,0.23701768,-1.52489397,-0.59580173
Organic Fertilizer,Common Bean,205,15,1.28280373,0.86702505,0.43449043,0.17072695,0.09987176,0.7691091
Agroforestry Fallow,Maize,315,15,2.42634463,1.35399924,1.20070155,0.22507367,0.75956527,1.64183783
Mulch (Herbs),Cowpea,226,13,0.63407388,0.4607024,0.24237575,0.0930012,0.06009675,0.42465475
Reduced Tillage,Soybean,100,13,0.78364276,0.77199542,-0.0195101,0.05688771,-0.13100795,0.09198775
Reduced Tillage,Wheat,186,12,2.78487555,2.76366751,0.13438511,0.14295868,-0.14580876,0.41457898
Mulch (Trees),Pearl Millet,90,12,0.87353334,0.53464258,0.37363368,0.07191276,0.23268726,0.51458011
Mulch (Trees),Cowpea,161,12,0.60799622,0.66485042,0.07565708,0.14997812,-0.21829464,0.3696088
Mulch (Herbs),Pearl Millet,368,11,0.90729696,0.56481003,0.21971054,0.05464153,0.11261511,0.32680597
Improved Varieties,Cowpea,518,11,6.76958382,6.82906093,-0.02539358,0.13334469,-0.28674437,0.23595721
Improved Varieties,Cassava,521,11,21.35094907,18.01891912,3.83625543,1.21718864,1.45060953,6.22190133
Alleycropping,Cassava,179,11,7.7198229,8.03731341,-0.41668216,0.53774106,-1.47063527,0.63727096
Alleycropping,Common Bean,197,11,0.61119356,0.65403703,-0.0186238,0.06268486,-0.14148387,0.10423628
Intercropping,Soybean,131,11,1.29232167,2.11102243,-0.76066216,0.15990126,-1.07406287,-0.44726144
Supplemental Irrigation,Maize,183,10,1.02890823,0.75879636,0.97812635,0.72602321,-0.444853,2.4011057
Mulch (Herbs),Rice,133,10,3.38358804,3.11763903,0.30641248,0.29221754,-0.26632338,0.87914834
Organic Fertilizer,Soybean,198,10,1.32203069,0.7309765,0.5805375,0.09385858,0.39657807,0.76449693
Organic Fertilizer,Cowpea,113,10,0.79443666,0.46577889,0.38391958,0.08463397,0.21804006,0.54979911
Water Harvesting,Cowpea,76,10,0.49809813,0.50791062,-0.00409065,0.04426447,-0.09084741,0.08266612
Mulch (Trees),Common Bean,194,10,0.94361261,0.8322042,0.1830447,0.09734398,-0.00774601,0.3738354
Mulch (Trees),Cassava,196,10,6.25116686,6.39366222,-0.07556537,0.23470019,-0.53556928,0.38443855
Inorganic Fertilizer,Yam,80,9,13.03131313,8.92094949,3.69479196,1.23617534,1.27193281,6.11765111
Mulch (Herbs),Wheat,91,9,3.00577895,2.74864805,0.33155358,0.18581953,-0.03264601,0.69575317
Reduced Tillage,Rice,62,9,3.42472151,3.59048629,-0.15563205,0.24591897,-0.63762438,0.32636029
Organic Fertilizer,Groundnut,90,9,1.29337993,0.93692069,0.29859838,0.08320739,0.13551489,0.46168186
Improved Varieties,Rice,339,9,3.92566274,2.62142627,0.78251818,0.22014866,0.35103474,1.21400161
Mulch (Trees),Sorghum,163,9,1.21719631,1.00258574,0.21893204,0.05573393,0.10969554,0.32816854
Alleycropping,Cowpea,88,9,0.57593953,0.74168462,-0.14893157,0.08664766,-0.31875785,0.02089472
Alleycropping,Groundnut,63,9,0.65299412,0.67215756,-0.01894198,0.04295281,-0.10312794,0.06524398
Intercropping,Sorghum,120,9,1.45240139,1.43318517,0.04288098,0.05462056,-0.06417335,0.14993531
Deficit Irrigation,Wheat,129,8,4.64005628,6.15389872,-1.46893389,0.45718246,-2.36499505,-0.57287273
Reduced Tillage,Pearl Millet,53,8,1.45377877,0.54761637,0.4012488,0.28326907,-0.15394837,0.95644597
Crop Rotation,Sorghum,105,8,1.87619035,1.48383728,0.48915863,0.15744785,0.18056651,0.79775074
Crop Residue Incorporation,Wheat,55,7,3.630566,3.21191,0.3809413,0.16293546,0.06159366,0.70028894
Crop Residue Incorporation,Cassava,124,7,17.66959402,16.25400946,1.69077076,1.11495308,-0.49449713,3.87603865
Crop Residue Incorporation,Common Bean,20,7,0.46307407,0.40945679,0.05487663,0.02943133,-0.00280772,0.11256097
Mulch (Herbs),Cassava,93,7,17.56635948,14.36392157,2.99140569,1.91638503,-0.76463994,6.74745132
Reduced Tillage,Cotton,60,7,1.76792689,1.93556287,-0.14396167,0.08621598,-0.31294189,0.02501855
Organic Fertilizer,Cassava,166,7,24.21633787,16.92863946,7.25399968,1.27189709,4.76112719,9.74687216
Parklands,Pearl Millet,73,7,0.43335889,0.43124067,0.07023799,0.10175754,-0.12920313,0.2696791
Green Manure,Sorghum,96,7,1.89082126,1.2348509,0.78692687,0.21990648,0.35591808,1.21793565
Green Manure,Common Bean,31,7,0.37222222,0.34508889,0.01993921,0.04033151,-0.05910909,0.09898752
Crop Rotation,Pearl Millet,195,7,0.90884271,0.70646389,0.25073294,0.06319939,0.1268644,0.37460147
Intercropping,Pearl Millet,169,7,0.6314947,0.72762547,-0.1130164,0.0810635,-0.27189793,0.04586513
Inorganic Fertilizer,Cotton,124,6,1.45733775,1.13004836,0.33270865,0.13016497,0.07758998,0.58782731
Inorganic Fertilizer,Teff,111,6,1.55026188,0.88862318,0.8881865,0.1753504,0.54450603,1.23186697
Inorganic Fertilizer,Tomato,39,6,31.72479365,14.5968254,18.59223915,6.40005888,6.04835425,31.13612405
Deficit Irrigation,Potato,73,6,18.63216129,23.70025654,-4.93539525,1.47904838,-7.83427682,-2.03651369
Crop Residue Incorporation,Sorghum,108,6,1.18543571,0.93774821,0.25822483,0.05184734,0.1566059,0.35984376
Crop Residue Incorporation,Rice,105,6,2.55778554,1.62249486,1.6421803,0.41850908,0.82191756,2.46244303
Mulch (Herbs),Sugar Cane,78,6,79.89360128,77.84491929,2.22734958,3.89165101,-5.40014623,9.85484539
Mulch (Herbs),Common Bean,22,6,0.94265613,0.83101639,0.08120835,0.04913895,-0.01510223,0.17751893
Mulch (Herbs),Groundnut,77,6,1.09062459,0.96269044,0.14521669,0.0612643,0.02514087,0.26529251
Reduced Tillage,Cassava,29,6,8.18490196,9.37803922,-1.19313725,0.59101222,-2.35149992,-0.03477458
Organic Fertilizer,Rice,60,6,4.87869268,3.47269162,1.28416882,0.58658251,0.13448822,2.43384942
Improved Varieties,Sorghum,113,6,2.05535739,1.6753242,0.31565503,0.12885589,0.06310213,0.56820792
Water Harvesting,Pearl Millet,129,6,0.64995417,0.44774578,0.29308862,0.06873111,0.15837813,0.42779911
Mulch (Trees),Groundnut,62,6,0.82934819,0.8258484,-0.01730404,0.06409406,-0.14292608,0.108318
Boundary Planting,Maize,185,6,3.11663468,2.77302066,0.1697861,0.23164711,-0.28423389,0.6238061
Parklands,Sorghum,36,6,0.50335662,0.67449867,-0.22724924,0.20327071,-0.62565251,0.17115403
Crop Rotation,Cowpea,85,6,0.9605136,0.94947135,-0.04145073,0.11651597,-0.26981784,0.18691637
Intercropping,Common Bean,61,6,1.06948601,1.64621457,-0.60760929,0.21560052,-1.03017854,-0.18504005
Inorganic Fertilizer,Pigeon Pea,159,5,0.43757311,0.43328194,0.00243127,0.0154152,-0.02778196,0.0326445
Inorganic Fertilizer,Chickpea,40,5,1.98366598,1.57500825,0.40865773,0.05789905,0.29517768,0.52213778
Inorganic Fertilizer,Okra,49,5,2.50487336,1.58109984,0.90047026,0.18992095,0.52823203,1.27270848
Inorganic Fertilizer,Potato,154,5,11.43348004,8.80422032,2.23074376,0.40779067,1.43148873,3.02999879
Inorganic Fertilizer,Sweet Potato,126,5,22.64507837,14.5243497,10.64250917,2.97464895,4.81230436,16.47271397
Inorganic Fertilizer,Fodder Legume,36,5,4.99258884,2.67525083,1.65608399,0.973833,-0.25259361,3.56476159
Inorganic Fertilizer,Barley,217,5,3.83120229,2.49169931,1.35602827,0.34133035,0.68703309,2.02502346
Deficit Irrigation,Olive,48,5,18.05060546,20.50465184,-2.18040159,1.71557183,-5.54286059,1.1820574
Deficit Irrigation,Rice,17,5,3.93286071,4.45475714,-0.73976375,0.34089624,-1.4079081,-0.0716194
Supplemental Irrigation,Sorghum,48,5,2.0623446,0.92440076,1.32720359,0.56123569,0.22720186,2.42720533
Mulch (Herbs),Tomato,30,5,21.055732,14.87540933,6.32039518,1.93364945,2.5305119,10.11027847
Reduced Tillage,Teff,20,5,0.97018148,0.8364,-0.00852168,0.11235981,-0.22874285,0.21169949
Organic Fertilizer,Tomato,37,5,41.59424561,25.02452632,18.36996511,8.88257098,0.9604459,35.77948431
Improved Varieties,Wheat,195,5,5.49837562,5.15202363,0.37496404,0.32540078,-0.26280977,1.01273785
Alleycropping,Sorghum,74,5,1.70038991,1.26735435,0.26274552,0.16486304,-0.06038011,0.58587115
Alleycropping,Pearl Millet,39,5,0.98210084,0.59742297,0.38467787,0.07204721,0.23882593,0.53052982
Green Manure,Rice,129,5,2.06199315,1.32456875,0.55679272,0.15158254,0.2596964,0.85388904
Agroforestry Fallow,Cassava,61,5,11.57688235,9.89286275,1.68401961,0.4408268,0.80223471,2.5658045
Crop Rotation,Wheat,67,5,2.46299038,1.86764423,0.57444884,0.12541393,0.32864204,0.82025563
Crop Rotation,Soybean,90,5,1.18377334,1.13392519,-0.05787561,0.22916807,-0.50703677,0.39128556
Intercropping,Pigeon Pea,108,5,0.47374662,0.75856863,-0.27306754,0.09449204,-0.45826853,-0.08786655
Intercropping,Okra,49,5,3.615,4.34583333,-0.8730534,0.87304784,-2.58419573,0.83808893
Inorganic Fertilizer,Sugar Cane,109,4,36.89368028,30.04096235,6.15258283,1.29319476,3.61796769,8.68719798
Inorganic Fertilizer,Cabbage,8,4,39.75414575,15.98926824,23.76487751,5.19781957,11.4739873,36.05576772
Inorganic Fertilizer,Banana Sweet,32,4,19.57806743,14.23102796,4.28717113,1.06967841,2.19063998,6.38370229
Inorganic Fertilizer,Rape,45,4,12.70392129,4.95305358,8.08262324,3.58602041,1.05415238,15.1110941
Inorganic Fertilizer,Sunflower,173,4,1.8345033,0.7883418,1.00373115,0.31348896,0.38930408,1.61815822
Supplemental Irrigation,Cowpea,34,4,0.95502381,0.60996289,0.46129224,0.23749829,-0.00419586,0.92678034
Supplemental Irrigation,Rice,16,4,3.09094046,1.64988965,1.07384731,0.57113379,-0.04555435,2.19324897
Mulch (Herbs),Cooking Banana,47,4,15.02736111,12.15722222,2.38992716,1.31728917,-0.19191218,4.97176649
Mulch (Herbs),Soybean,32,4,1.01845,0.73521667,0.33244638,0.1715092,-0.00370548,0.66859823
Reduced Tillage,Common Bean,32,4,0.81151657,0.70241643,0.07948098,0.08574505,-0.08857623,0.24753818
Organic Fertilizer,Cabbage,10,4,39.16948564,15.98926824,20.14232228,7.87459074,4.70840803,35.57623652
Organic Fertilizer,Potato,103,4,14.23830672,10.35987801,2.82965737,0.55529926,1.74129082,3.91802393
Organic Fertilizer,Sweet Potato,105,4,16.91951099,10.7727033,10.32280561,3.64511946,3.17850274,17.46710847
Organic Fertilizer,Wheat,31,4,2.57659615,2.14053846,0.41280612,0.1245033,0.16878414,0.6568281
Improved Varieties,Sweet Potato,397,4,8.61159926,9.21440062,-2.61066977,1.90771969,-6.34973166,1.12839212
Improved Varieties,Common Bean,138,4,1.0099898,0.81639265,0.19790164,0.09086151,0.01981636,0.37598692
Improved Varieties,Soybean,51,4,1.01461894,0.8770513,0.13905235,0.08072607,-0.01916784,0.29727255
Water Harvesting,Soybean,39,4,1.32050034,1.20560053,0.02001837,0.14948257,-0.27296209,0.31299882
Water Harvesting,Rice,20,4,1.94687791,1.35447043,0.69690842,0.11506025,0.47139448,0.92242236
Water Harvesting,Wheat,51,4,5.05731465,3.79460202,1.09532416,0.41863972,0.27480539,1.91584293
pH Control,Groundnut,47,4,1.47993254,1.18085417,0.29907837,0.04344201,0.21393361,0.38422314
pH Control,Rice,113,4,2.41093318,1.93489119,0.50563939,0.1809305,0.15102213,0.86025665
Alleycropping,Sesame,8,4,0.2596875,0.24358125,0.01610625,0.02564879,-0.03416446,0.06637696
Biochar,Maize,49,4,4.10759796,2.76296296,1.25586134,0.80233398,-0.31668436,2.82840703
Green Manure,Wheat,41,4,3.21325,2.81553704,0.36998893,0.26158804,-0.1427142,0.88269207
Green Manure,Yam,58,4,13.58493056,9.33041667,4.25451389,0.42096552,3.41154497,5.09748281
Green Manure,Cassava,53,4,8.19144481,8.32738095,-0.35893874,1.27285321,-2.85368518,2.13580771
Crop Rotation,Cotton,16,4,1.76064762,2.0258,-0.26515238,0.09522247,-0.46811426,-0.0621905
Intercropping,Cotton,16,4,1.15026575,1.3217761,-0.32011511,0.2382237,-0.78702497,0.14679476
Intercropping,Wheat,18,4,2.97348556,3.01204597,-0.03856042,0.09377165,-0.23640131,0.15928047
