Practice,Crop,AEZ_Class_FAO,N_Obs,N_Pub,Mean_T,Mean_C,Mean_Difference,Se,Lower,Upper
Alleycropping,Maize,"Tropics, highland; sub-humid",134,12,1.7747359,2.05767578,-0.28293989,0.11257351,-0.50560592,-0.06027385
Inorganic Fertilizer,Common Bean,"Tropics, lowland; humid",188,11,0.92491537,0.67976143,0.24919926,0.07115187,0.10974417,0.38865436
Mulch (Herbs),Pearl Millet,"Tropics, lowland; semi-arid",367,11,0.90514881,0.56012115,0.23883126,0.05338478,0.13419902,0.34346351
Mulch (Trees),Maize,"Tropics, highland; semi-arid",668,11,3.06793387,2.35192846,0.7729254,0.43800111,-0.08554101,1.63139181
Inorganic Fertilizer,Soybean,"Tropics, lowland; humid",111,10,0.5947895,0.34052301,0.2895082,0.07971372,0.13327218,0.44574423
Reduced Tillage,Sorghum,"Tropics, lowland; semi-arid",108,10,1.61551055,0.59651813,0.17371157,0.29588552,-0.4062134,0.75363653
Mulch (Trees),Maize,"Tropics, lowland; semi-arid",236,10,2.44511296,1.28719205,1.48551387,0.3379662,0.82311229,2.14791545
Mulch (Trees),Cassava,"Tropics, lowland; humid",178,10,6.22976659,6.42008143,-0.19031484,0.21333413,-0.60844205,0.22781237
Inorganic Fertilizer,Cowpea,"Tropics, lowland; sub-humid",216,9,1.11270229,0.64762925,0.33561002,0.12281528,0.09489649,0.57632355
Inorganic Fertilizer,Rice,"Tropics, lowland; semi-arid",156,9,3.06603105,1.80429367,1.29801967,0.19580201,0.91425479,1.68178455
Organic Fertilizer,Maize,"Tropics, highland; sub-humid",147,9,2.92195062,1.61144836,1.20498823,0.32575361,0.56652289,1.84345357
Alleycropping,Cassava,"Tropics, lowland; humid",174,9,5.69788019,6.3002139,-0.89193108,0.47015459,-1.81341715,0.02955498
Crop Residue Incorporation,Maize,"Tropics, highland; semi-arid",231,8,2.07629387,1.34009583,0.83929441,0.25618269,0.33718556,1.34140325
Mulch (Herbs),Sorghum,"Tropics, lowland; semi-arid",48,8,1.09792552,1.01841655,0.17567223,0.07339005,0.03183038,0.31951408
Mulch (Herbs),Maize,"Tropics, highland; sub-humid",116,8,3.42410141,2.27849242,0.84974986,0.33373637,0.19563859,1.50386113
Reduced Tillage,Cowpea,Severe soil/terrain limitations,121,8,0.82072489,0.73987938,0.08084552,0.02164575,0.03798845,0.12370259
Water Harvesting,Maize,Severe soil/terrain limitations,129,8,1.86343646,1.52212757,0.07471756,0.25499546,-0.42506437,0.57449949
Green Manure,Maize,"Tropics, lowland; semi-arid",67,8,2.19932452,1.83308791,0.85193912,0.41360399,0.0412902,1.66258804
Intercropping,Maize,Severe soil/terrain limitations,66,8,2.03714105,2.49291296,-0.63413574,0.49928331,-1.61271305,0.34444157
Intercropping,Cowpea,"Tropics, lowland; sub-humid",63,8,0.74919631,0.97259106,-0.23596111,0.18943433,-0.60724558,0.13532336
Inorganic Fertilizer,Cassava,"Tropics, lowland; sub-humid",71,7,15.94169108,11.18336842,2.95551762,2.57688869,-2.09509139,8.00612664
Reduced Tillage,Pearl Millet,"Tropics, lowland; semi-arid",52,7,1.44568969,0.53632833,0.44628058,0.35196411,-0.2435564,1.13611755
Organic Fertilizer,Common Bean,"Tropics, lowland; humid",87,7,1.06739021,0.85881959,0.19038536,0.22845708,-0.2573823,0.63815301
Organic Fertilizer,Maize,"Tropics, highland; humid",60,7,3.78353174,2.36817826,1.56911277,0.19613488,1.18469548,1.95353007
Improved Varieties,Cassava,"Tropics, lowland; humid",179,7,25.85008562,20.30074951,5.3774927,1.46285305,2.51035341,8.24463199
Mulch (Trees),Sorghum,"Tropics, lowland; semi-arid",129,7,0.9575382,0.7643267,0.18970628,0.05619407,0.07956793,0.29984463
Alleycropping,Maize,Severe soil/terrain limitations,300,7,2.95707365,2.34886599,0.60820766,0.0547462,0.50047098,0.71594433
Parklands,Pearl Millet,"Tropics, lowland; semi-arid",73,7,0.43335889,0.43124067,0.07023799,0.10175754,-0.12920313,0.2696791
Green Manure,Maize,"Tropics, highland; humid",61,7,3.15860866,2.27713068,0.88542316,0.10801541,0.67371685,1.09712946
Crop Rotation,Maize,Severe soil/terrain limitations,117,7,3.02771355,3.34374128,-0.31602773,0.13990116,-0.59311961,-0.03893585
Intercropping,Pearl Millet,"Tropics, lowland; semi-arid",169,7,0.6314947,0.72762547,-0.1130164,0.0810635,-0.27189793,0.04586513
Intercropping,Maize,"Tropics, highland; sub-humid",84,7,2.92555329,2.82233782,-0.20312912,0.28885769,-0.7692798,0.36302156
Intercropping,Maize,"Tropics, highland; semi-arid",241,7,2.95809673,2.64545833,0.29195793,0.10075666,0.09447851,0.48943735
Inorganic Fertilizer,Soybean,"Tropics, lowland; semi-arid",73,6,1.25254055,0.912093,0.3379164,0.05600072,0.228157,0.4476758
Inorganic Fertilizer,Yam,"Tropics, lowland; sub-humid",62,6,12.06069444,8.71297222,3.55308995,1.43270486,0.74504002,6.36113989
Inorganic Fertilizer,Cowpea,"Tropics, lowland; humid",78,6,0.84717292,0.6717896,0.20229338,0.08670911,0.03234665,0.37224011
Inorganic Fertilizer,Rice,Land with ample irrigated soils,85,6,6.0855875,4.49814539,1.52180864,0.51881341,0.50495304,2.53866424
Inorganic Fertilizer,Rice,Desert/Arid climate,454,6,7.16521483,3.8800721,3.09014514,0.42835604,2.25058272,3.92970755
Crop Residue Incorporation,Maize,"Tropics, highland; humid",42,6,3.22085833,2.41107143,0.8097869,0.10391849,0.6061104,1.01346341
Crop Residue Incorporation,Maize,"Tropics, lowland; semi-arid",54,6,3.93470779,3.04829545,0.90059824,0.50912276,-0.09726404,1.89846051
Mulch (Herbs),Cowpea,"Tropics, lowland; sub-humid",106,6,0.87250951,0.58809121,0.38807261,0.15197995,0.09019738,0.68594783
Organic Fertilizer,Common Bean,"Tropics, highland; humid",80,6,1.20351604,0.74517403,0.48410011,0.2190935,0.05468474,0.91351548
Improved Varieties,Maize,"Tropics, lowland; humid",176,6,2.86591367,1.54415476,1.05610539,0.35467891,0.3609475,1.75126327
Improved Varieties,Maize,"Tropics, lowland; semi-arid",51,6,2.35255498,2.83855797,0.22682496,0.20924409,-0.18328593,0.63693584
Water Harvesting,Pearl Millet,"Tropics, lowland; semi-arid",129,6,0.64995417,0.44774578,0.29308862,0.06873111,0.15837813,0.42779911
Mulch (Trees),Cowpea,Severe soil/terrain limitations,118,6,0.6088666,0.59542579,0.01344081,0.0133714,-0.01304056,0.03992217
pH Control,Maize,"Tropics, lowland; sub-humid",55,6,4.7046566,3.56069229,1.07225225,0.30487231,0.4747135,1.66979099
Parklands,Sorghum,"Tropics, lowland; semi-arid",30,6,0.48521603,0.64075717,-0.23341132,0.25972544,-0.74246383,0.27564119
Green Manure,Maize,"Tropics, highland; semi-arid",94,6,2.39539175,1.99576921,0.65924213,0.21071366,0.24625095,1.07223332
Crop Rotation,Pearl Millet,"Tropics, lowland; semi-arid",192,6,0.93236369,0.72939025,0.260741,0.07381004,0.11607597,0.40540602
Intercropping,Soybean,"Tropics, lowland; sub-humid",30,6,1.0135167,1.91148984,-0.79578484,0.37566967,-1.53208387,-0.05948581
Improved Fallow,Maize,"Tropics, lowland; humid",98,6,2.2511556,1.2988808,0.9805092,0.31253915,0.36794372,1.59307468
Inorganic Fertilizer,Soybean,"Tropics, lowland; sub-humid",38,5,1.49947699,1.02218692,0.29130726,0.23436282,-0.16803542,0.75064995
Inorganic Fertilizer,Cowpea,Severe soil/terrain limitations,80,5,0.63499786,0.67549011,-0.04049225,0.0108772,-0.06214276,-0.01884173
Inorganic Fertilizer,Wheat,"Tropics, highland; humid",64,5,3.47828657,1.83687032,1.60000347,1.30511664,-0.95797813,4.15798507
Inorganic Fertilizer,Groundnut,"Tropics, lowland; sub-humid",45,5,0.77519618,0.65932292,0.04809569,0.14365112,-0.23345533,0.32964672
Inorganic Fertilizer,Wheat,"Tropics, highland; sub-humid",31,5,2.44633215,1.49626595,0.98351223,0.56737082,-0.12851415,2.09553861
Deficit Irrigation,Wheat,Land with ample irrigated soils,73,5,5.65345827,7.18984537,-1.49301185,0.76081843,-2.98418857,-0.00183512
Mulch (Herbs),Cassava,"Tropics, lowland; humid",63,5,14.95050926,13.46701389,1.81378948,1.37529726,-0.88174362,4.50932257
Reduced Tillage,Soybean,"Tropics, lowland; sub-humid",41,5,1.00606952,0.96502,-0.03531493,0.09517187,-0.22184836,0.15121851
Organic Fertilizer,Groundnut,"Tropics, lowland; semi-arid",38,5,1.53725051,1.10873791,0.32839543,0.10513664,0.12233141,0.53445946
Organic Fertilizer,Maize,Severe soil/terrain limitations,91,5,2.41723862,1.64001339,0.68719048,0.23339094,0.22975263,1.14462832
Organic Fertilizer,Sorghum,"Tropics, lowland; humid",293,5,2.41729047,1.50049615,0.83760183,0.18581647,0.47340823,1.20179542
Improved Varieties,Maize,"Tropics, lowland; sub-humid",102,5,2.94864361,1.84046365,0.92210536,0.24093236,0.44988661,1.39432411
Water Harvesting,Maize,"Tropics, highland; sub-humid",53,5,2.40266311,1.41536909,0.91821028,0.23170065,0.46408535,1.37233521
Mulch (Trees),Cowpea,"Tropics, highland; sub-humid",40,5,0.70703092,0.77032809,-0.06329717,0.08900793,-0.2433327,0.11673836
Mulch (Trees),Common Bean,"Tropics, lowland; humid",137,5,0.58270305,0.50138639,0.13474534,0.12794794,-0.11602801,0.38551869
pH Control,Maize,"Tropics, lowland; semi-arid",34,5,3.15484799,3.00687335,0.14281822,0.1169546,-0.08640859,0.37204502
Alleycropping,Cowpea,"Tropics, highland; sub-humid",28,5,0.6075641,1.03134615,-0.42378205,0.08944732,-0.6073128,-0.24025131
Alleycropping,Maize,"Tropics, highland; humid",82,5,1.65838021,1.9393625,-0.30253369,0.09233958,-0.48351594,-0.12155143
Alleycropping,Common Bean,"Tropics, lowland; humid",146,5,0.54326757,0.53884626,0.02565354,0.04849335,-0.06939167,0.12069875
Alleycropping,Maize,"Tropics, lowland; semi-arid",154,5,2.96687729,1.92469009,0.82770374,0.46539377,-0.08445128,1.73985876
Alleycropping,Groundnut,"Tropics, lowland; semi-arid",35,5,0.690365,0.68414286,0.00495623,0.06945488,-0.13117283,0.1410853
Alleycropping,Pearl Millet,"Tropics, lowland; semi-arid",39,5,0.98210084,0.59742297,0.38467787,0.07204721,0.23882593,0.53052982
Green Manure,Sorghum,"Tropics, lowland; semi-arid",87,5,1.3104655,1.02950468,0.29193409,0.12231084,0.05220925,0.53165894
Agroforestry Fallow,Maize,"Tropics, lowland; humid",57,5,2.48432738,1.50585714,1.1544106,0.30974423,0.54732307,1.76149813
Intercropping,Maize,"Tropics, highland; humid",45,5,3.79986475,3.41527716,-0.21440047,0.45062636,-1.09761191,0.66881098
Intercropping,Okra,"Tropics, lowland; humid",49,5,3.615,4.34583333,-0.8730534,0.87304784,-2.58419573,0.83808893
Intercropping,Cassava,Severe soil/terrain limitations,38,5,12.48831373,14.17691176,-1.68859804,0.70809839,-3.07644538,-0.30075069
Inorganic Fertilizer,Cotton,"Tropics, lowland; sub-humid",97,4,1.42702843,0.9193604,0.38922079,0.15700045,0.08150557,0.69693602
Inorganic Fertilizer,Sugar Cane,"Tropics, lowland; humid",66,4,40.00345679,30.65907407,9.06269776,2.56312029,4.0390743,14.08632122
Inorganic Fertilizer,Sorghum,"Tropics, highland; sub-humid",98,4,2.77800761,1.85200968,0.92599793,0.08244475,0.76440919,1.08758668
Inorganic Fertilizer,Banana Sweet,"Tropics, lowland; humid",31,4,18.59735027,12.60866304,4.23140164,1.20834049,1.86309781,6.59970548
Inorganic Fertilizer,Potato,"Tropics, highland; humid",113,4,11.01365572,8.22550728,2.46536026,0.5008676,1.48367781,3.44704271
Inorganic Fertilizer,Cassava,Severe soil/terrain limitations,42,4,17.42792208,16.26785714,1.16006494,0.39365039,0.36507185,1.95505802
Inorganic Fertilizer,Maize,Dominantly urban/built-up land,32,4,2.15945417,1.02835417,1.0334214,0.36776318,0.31261882,1.75422398
Inorganic Fertilizer,Soybean,"Tropics, highland; semi-arid",65,4,0.99051598,0.47141424,0.49989839,0.17785218,0.15131452,0.84848225
Inorganic Fertilizer,Wheat,Land with ample irrigated soils,121,4,5.64335095,4.30627463,1.24552374,0.48099277,0.30279522,2.18825225
Inorganic Fertilizer,Maize,Land with ample irrigated soils,36,4,3.43685668,2.29168305,1.6991,0.83252851,0.06737412,3.33082589
Inorganic Fertilizer,Sorghum,"Tropics, lowland; sub-humid",52,4,1.6429958,1.29727171,0.1242654,0.42650088,-0.71166095,0.96019176
Inorganic Fertilizer,Barley,"Tropics, highland; sub-humid",215,4,3.68017982,2.67634071,1.07851094,0.25856662,0.57172968,1.58529219
Deficit Irrigation,Maize,Land with ample irrigated soils,68,4,5.3021633,7.21091891,-1.37836427,0.96435467,-3.26846468,0.51173615
Supplemental Irrigation,Sorghum,"Tropics, lowland; semi-arid",40,4,2.23393482,0.91172149,1.730441,0.5475745,0.65721471,2.80366729
Crop Residue Incorporation,Cassava,"Tropics, lowland; humid",101,4,17.83668269,15.69872253,2.23693213,1.51358713,-0.72964413,5.20350839
Crop Residue Incorporation,Common Bean,"Tropics, lowland; humid",10,4,0.60973333,0.52462222,0.08511111,0.0365304,0.0024736,0.16774862
Crop Residue Incorporation,Sorghum,"Tropics, lowland; semi-arid",96,4,0.98890476,0.76762619,0.22127857,0.03158744,0.15936833,0.28318881
Mulch (Herbs),Cooking Banana,"Tropics, lowland; humid",47,4,15.02736111,12.15722222,2.38992716,1.31728917,-0.19191218,4.97176649
Mulch (Herbs),Maize,"Tropics, highland; humid",31,4,2.71878076,1.68919931,0.59746691,0.41460238,-0.21513881,1.41007264
Mulch (Herbs),Rice,"Tropics, lowland; sub-humid",39,4,3.17274032,2.86399909,0.36503665,0.69232367,-0.99189281,1.72196612
Reduced Tillage,Cowpea,"Tropics, lowland; sub-humid",27,4,0.88594497,0.80458018,0.08895234,0.0573843,-0.02351882,0.20142349
Reduced Tillage,Cassava,"Tropics, lowland; humid",21,4,10.35388889,11.44638889,-1.0925,0.79897702,-2.75913685,0.57413685
Reduced Tillage,Maize,"Tropics, highland; sub-humid",39,4,2.78226773,1.79732289,0.69497741,0.36060014,-0.01178588,1.40174069
Organic Fertilizer,Cassava,"Tropics, lowland; humid",46,4,26.17980769,16.56846154,9.52842111,1.45321856,6.68016507,12.37667715
Organic Fertilizer,Soybean,"Tropics, highland; semi-arid",39,4,1.16064343,0.47003197,0.66758833,0.14113311,0.39097253,0.94420414
Organic Fertilizer,Cowpea,"Tropics, lowland; semi-arid",73,4,0.45900862,0.30476179,0.12277942,0.0556585,0.01369077,0.23186808
Improved Varieties,Cowpea,"Tropics, lowland; semi-arid",65,4,0.57588611,0.57676508,0.03263725,0.18414942,-0.32828897,0.39356348
Improved Varieties,Rice,"Tropics, lowland; sub-humid",37,4,3.46338249,2.25965495,0.54599185,0.42724406,-0.29139112,1.38337481
Water Harvesting,Cowpea,"Tropics, lowland; semi-arid",32,4,0.43704712,0.51288019,-0.07065269,0.06938035,-0.20663567,0.06533029
Water Harvesting,Maize,"Tropics, highland; humid",42,4,1.86449193,1.2311772,0.58765261,0.15029445,0.29308091,0.88222432
Water Harvesting,Rice,"Tropics, lowland; sub-humid",10,4,2.01215399,1.38128025,0.71067607,0.15814269,0.4007221,1.02063005
Water Harvesting,Maize,"Tropics, lowland; humid",68,4,2.76657222,2.39145278,0.31740657,0.33684323,-0.34279402,0.97760717
Mulch (Trees),Maize,"Tropics, highland; humid",57,4,4.38176567,3.37661599,0.90589284,0.18058558,0.5519516,1.25983408
Mulch (Trees),Groundnut,"Tropics, lowland; humid",34,4,0.58997573,0.65741484,-0.06899081,0.05646679,-0.17966369,0.04168207
Alleycropping,Sesame,"Tropics, lowland; semi-arid",8,4,0.2596875,0.24358125,0.01610625,0.02564879,-0.03416446,0.06637696
Alleycropping,Groundnut,"Tropics, lowland; humid",28,4,0.59960714,0.65503571,-0.05091017,0.04744954,-0.14390956,0.04208921
Green Manure,Common Bean,"Tropics, lowland; humid",21,4,0.43387037,0.39814815,0.02205715,0.07178971,-0.1186481,0.1627624
Green Manure,Rice,"Tropics, lowland; humid",103,4,2.18953754,1.42243077,0.58951978,0.19773356,0.20196912,0.97707044
Green Manure,Yam,"Tropics, lowland; sub-humid",58,4,13.58493056,9.33041667,4.25451389,0.42096552,3.41154497,5.09748281
Agroforestry Fallow,Maize,"Tropics, lowland; semi-arid",90,4,3.74501429,1.79672,1.94829429,0.16829227,1.61390114,2.28268743
Crop Rotation,Sorghum,"Tropics, lowland; sub-humid",38,4,1.80185556,1.3513,0.57669516,0.35185437,-0.11292672,1.26631705
Intercropping,Sorghum,"Tropics, lowland; semi-arid",66,4,1.50814645,1.5011029,-0.01024063,0.07439841,-0.15605883,0.13557757
Improved Fallow,Maize,"Subtropics, moderately cool; sub-humid",32,4,6.5538125,4.74145833,1.81235417,0.38720148,1.02265154,2.6020568
