Practice,Country or Region,System,Author,Title,Link,,,,,,,,,,,,,,,,,,,
Improved Fallows,Kenya,Cereal-based,"Recha, J.",Module 3.3 Improved Fallow - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Improved Varieties ,Kenya,Cereal-based,"Recha, J. ",Module 5.5 Improved crop varieties - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Improved Varieties ,Unspecified,Rice-based,IRRI,How to Select Rice Varieties,http://www.knowledgebank.irri.org/step-by-step-production/pre-planting/rice-varieties,,,,,,,,,,,,,,,,,,,
Crop Rotation,Kenya,Cereal-based,"Recha, J.",Module 5.4 Crop rotation - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Crop Rotation,Unspecified,Cereal-based,FAO,Chapter 6.A - Training Manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
Intercropping,Kenya,Cereal-based,"Recha, J.","Module 5.3 Intercropping, alleycropping, relay cropping and contour strip cropping - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers",https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Intercropping,Unspecified,Cereal-based,FAO,Chapter 6.B - Training manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
Intercropping,Unspecified,"Maize, Napier grass, Desmodium legume",Biovision,Intercropping and Push-Pull,https://sswm.info/sites/default/files/reference_attachments/INFONET%20BIOVISION%20Editor%202012%20Intercropping%20and%20PushPull.pdf,,,,,,,,,,,,,,,,,,,
Tillage Management ,Kenya,Cereal-based,"Recha, J.",Module 4.1 Residue management - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Tillage Management ,Unspecified,Cereal-based,"Wekesa, A. ",7. Tillage and residue management - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,,,,,,,,,,,,,,,,,,,
Tillage Management ,Unspecified,Cereal-based,FAO,Guidelines and reference materials for promoting integrated soil and nutrient management in Farmer Field Schools: Reference material for the module on Tillage,https://www.fao.org/documents/card/en?details=6a68cfd8-f56d-4828-903c-811d05957b9e/,,,,,,,,,,,,,,,,,,,
Tillage Management ,Zambia,"Maize, Other",Conservation Farming Unit,Conservation Farming & Conservation Agriculture Handbook for Ox Farmers in Agroecological Regions I & IIa,https://www.fsnnetwork.org/sites/default/files/conservation_farming_handbook.pdf,,,,,,,,,,,,,,,,,,,
Crop Residue Incorporation ,Unspecified,Cereal-based,FAO,Chapter 10.D - Training manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
Crop Residue Management,Kenya,Cereal-based,"Recha, J.",Module 4.2 Residue Management - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Mulching,Kenya,Cereal-based,"Recha, J.",Module 3.2 Mulching - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers,https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Mulching,Unspecified,Cereal-based,FAO,Chapter 4 - Training Manual for Organic Agriculture,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/Compilation_techniques_organic_agriculture_rev.pdf,,,,,,,,,,,,,,,,,,,
Supplemental Irrigation ,Unspecified,Cereal-based,"Palada, M.",More Crop Per Drop: Using Simple Drip Irrigation Systems for Small-scale Vegetable Production,https://www.researchgate.net/publication/274384209_More_Crop_Per_Drop_Using_Simple_Drip_Irrigation_Systems_for_Small-scale_Vegetable_Production,,,,,,,,,,,,,,,,,,,
Water Harvesting ,Unspecified,Cereal-based,"Wekesa, A. ",4.2 Rainwater harvesting techniques - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,,,,,,,,,,,,,,,,,,,
Water Harvesting ,Unspecified,Cereal-based,"Mekdaschi, R.",Water Harvesting: Guide to Good Practice,https://www.researchgate.net/publication/259190040_Water_Harvesting_Guidelines_to_Good_Practice,,,,,,,,,,,,,,,,,,,
Water Harvesting ,Unspecified,Cereal-based,SAI Platform,Water Conservation Technical Briefs: TB 2 – Rain Water Harvesting & Artificial Recharge to Groundwater,https://www.saiplatform.org/uploads/Modules/Library/SAI%20Technical%20Brief%202%20Rain%20Water%20Harvesting%20and%20Artificial%20Recharge-2.pdf,,,,,,,,,,,,,,,,,,,
Deficit Irrigation,Nile Basin,Unspecified,Nile Equatorial Lakes Subsidirary Action Program (NELSAP),"5. Deficit Irrigation, Manual 8. In-Field Water Management in Irrigated Agriculture: Adaptable Best Practices",https://nelsap.nilebasin.org/index.php/en/information-hub/technical-documents/67-m8-in-field-management-in-irrigated-agriculture-manual-nelsap-nbi-2020/file,,,,,,,,,,,,,,,,,,,
Alleycropping ,Kenya,Cereal-based,"Recha, J.","Module 5.3 Intercropping, alleycropping, relay cropping and contour strip cropping - Sustainable Agriculture Land Management Practices for Climate Change Mitigation: A training guide for smallholder farmers",https://cgspace.cgiar.org/handle/10568/35643,,,,,,,,,,,,,,,,,,,
Parklands ,Sub-Saharan Africa,Agroforesty,WOCAT,Sustainable Land Management in Practice – Guidelines and Best Practices for Sub-Saharan Africa,https://www.wocat.net/documents/82/SLM_in_Practice_E_Final_low.pdf,,,,,,,,,,,,,,,,,,,
Parklands ,Southern Africa,Agroforesty,"Linyunga, K.",Agroforestry Technologies Manual: A Trainer's Guide,https://apps.worldagroforestry.org/downloads/Publications/PDFS/B14910.pdf,,,,,,,,,,,,,,,,,,,
Boundary Planting ,Uganda,Agroforesty,"Lwakuba, A. ",5.6 Trees on Boundaries - Agroforestry handbook for the montane zone of Uganda,https://apps.worldagroforestry.org/downloads/Publications/PDFS/B16763.pdf,,,,,,,,,,,,,,,,,,,
Boundary Planting ,Unspecified,Agroforesty,"Wekesa, A. ",6. Agroforestry - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,,,,,,,,,,,,,,,,,,,
Boundary Planting ,Kenya,Agroforesty,"Tengnas, B.",Agroforestry Extension Manual for Kenya,https://apps.worldagroforestry.org/downloads/Publications/PDFS/06_Agroforestry_extension_manual_for_kenya.pdf,,,,,,,,,,,,,,,,,,,
Agroforestry Fallow,Unspecified,Agroforesty,"Wekesa, A. ",6. Agroforestry - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,,,,,,,,,,,,,,,,,,,
Agroforestry Fallow,Southern Africa,Agroforesty,"Linyunga, K.",Agroforestry Technologies Manual: A Trainer's Guide,https://apps.worldagroforestry.org/downloads/Publications/PDFS/B14910.pdf,,,,,,,,,,,,,,,,,,,
Agroforestry Fallow,Sub-Saharan Africa,Agroforesty,WOCAT,Sustainable Land Management in Practice – Guidelines and Best Practices for Sub-Saharan Africa,https://www.wocat.net/documents/82/SLM_in_Practice_E_Final_low.pdf,,,,,,,,,,,,,,,,,,,
Agroforestry Fallow,Kenya,Agroforesty,"Tengnas, B.",Agroforestry Extension Manual for Kenya,https://apps.worldagroforestry.org/downloads/Publications/PDFS/06_Agroforestry_extension_manual_for_kenya.pdf,,,,,,,,,,,,,,,,,,,
Agroforestry Pruning ,Kenya,Agroforesty,"Tengnas, B.",Agroforestry Extension Manual for Kenya,https://apps.worldagroforestry.org/downloads/Publications/PDFS/06_Agroforestry_extension_manual_for_kenya.pdf,,,,,,,,,,,,,,,,,,,
Silvopasture,Unspecified,Agroforesty,"Wekesa, A. ",6. Agroforestry - Sustainable Agriculture Land Management (We Effect and Vi Agroforestry),https://weeffect.org/app/uploads/2018/12/we-effect-salm-training-manual.pdf,,,,,,,,,,,,,,,,,,,
Other Agroforestry ,Sub-Saharan Africa,Agroforesty,WOCAT,Sustainable Land Management in Practice – Guidelines and Best Practices for Sub-Saharan Africa,https://www.wocat.net/documents/82/SLM_in_Practice_E_Final_low.pdf,,,,,,,,,,,,,,,,,,,
